date,product,category,quantity,unit_price,region,customer_segment
2026-01-14,Face Serum,Beauty,4,14.43,South,Retail
2026-01-14,Body Lotion,Beauty,6,15.64,East,Retail
2026-01-15,Coffee Maker,Home & Kitchen,10,31.24,North,Online
2026-01-15,Bluetooth Speaker,Electronics,9,47.19,West,Online
2026-01-15,Face Serum,Beauty,7,12.8,Central,Wholesale
2026-01-15,Running Shoes,Apparel,1,22.65,North,Online
2026-01-15,Body Lotion,Beauty,13,12.9,South,Online
2026-01-15,Smart Watch,Electronics,8,45.99,West,Wholesale
2026-01-16,Throw Pillow,Home & Kitchen,13,26.43,South,Retail
2026-01-16,Throw Pillow,Home & Kitchen,11,25.92,South,Retail
2026-01-16,Denim Jacket,Apparel,3,21.84,North,Retail
2026-01-16,Running Belt,Sports,1,22.72,East,Wholesale
2026-01-16,Coffee Maker,Home & Kitchen,9,30.43,East,Retail
2026-01-16,Running Belt,Sports,13,17.03,South,Wholesale
2026-01-17,Yoga Mat,Sports,14,20.04,North,Wholesale
2026-01-17,Table Lamp,Home & Kitchen,8,33.27,South,Wholesale
2026-01-17,USB-C Hub,Electronics,12,48.0,West,Wholesale
2026-01-18,Running Belt,Sports,6,18.51,Central,Retail
2026-01-18,Sports Cap,Apparel,12,15.94,South,Online
2026-01-18,Dumbbell Set,Sports,2,26.01,West,Wholesale
2026-01-19,Running Shoes,Apparel,7,24.63,West,Wholesale
2026-01-19,Dumbbell Set,Sports,6,17.32,South,Retail
2026-01-20,Running Shoes,Apparel,5,16.86,Central,Wholesale
2026-01-20,Coffee Maker,Home & Kitchen,14,39.57,North,Online
2026-01-20,Wool Sweater,Apparel,8,23.36,North,Retail
2026-01-20,Yoga Mat,Sports,11,23.37,Central,Wholesale
2026-01-21,Sunscreen SPF50,Beauty,5,15.39,South,Retail
2026-01-21,Throw Pillow,Home & Kitchen,1,25.16,Central,Retail
2026-01-21,Resistance Bands,Sports,3,17.54,Central,Online
2026-01-21,Denim Jacket,Apparel,1,25.69,North,Online
2026-01-21,Throw Pillow,Home & Kitchen,1,25.16,Central,Retail
2026-01-21,Sports Cap,Apparel,5,23.02,East,Online
2026-01-21,Smart Watch,Electronics,2,58.64,West,Retail
2026-01-21,Laptop Stand,Electronics,5,43.57,West,Retail
2026-01-21,USB-C Hub,Electronics,1,45.91,Central,Wholesale
2026-01-21,Face Serum,Beauty,9,15.27,West,Online
2026-01-22,Water Bottle,Sports,12,20.47,Central,Wholesale
2026-01-22,Laptop Stand,Electronics,10,39.09,South,Wholesale
2026-01-22,Sunscreen SPF50,Beauty,11,16.67,North,Retail
2026-01-23,Laptop Stand,Electronics,13,51.0,West,Online
2026-01-23,Cutlery Set,Home & Kitchen,4,37.74,South,Wholesale
2026-01-23,USB-C Hub,Electronics,13,38.94,East,Retail
2026-01-24,Shampoo Bar,Beauty,14,10.59,North,Wholesale
2026-01-24,Yoga Mat,Sports,10,20.63,Central,Retail
2026-01-24,Bluetooth Speaker,Electronics,10,41.98,North,Wholesale
2026-01-24,Water Bottle,Sports,4,25.44,West,Retail
2026-01-24,Running Belt,Sports,7,14.17,North,Online
2026-01-25,Running Shoes,Apparel,6,24.46,North,Online
2026-01-25,Cutlery Set,Home & Kitchen,12,32.28,South,Wholesale
2026-01-25,Dumbbell Set,Sports,9,19.14,South,Online
2026-01-25,Sunscreen SPF50,Beauty,5,14.93,East,Retail
2026-01-25,Running Shoes,Apparel,8,26.37,Central,Online
2026-01-25,Water Bottle,Sports,12,13.49,North,Wholesale
2026-01-25,Denim Jacket,Apparel,1,21.65,North,Retail
2026-01-25,Laptop Stand,Electronics,12,48.49,Central,Retail
2026-01-26,Coffee Maker,Home & Kitchen,9,30.09,East,Online
2026-01-26,Shampoo Bar,Beauty,10,14.61,Central,Retail
2026-01-26,USB-C Hub,Electronics,3,46.34,Central,Retail
2026-01-26,Shampoo Bar,Beauty,5,15.44,South,Retail
2026-01-26,Laptop Stand,Electronics,13,37.31,Central,Wholesale
2026-01-26,Sunscreen SPF50,Beauty,3,15.89,East,Wholesale
2026-01-27,Body Lotion,Beauty,8,14.32,East,Online
2026-01-27,Cutlery Set,Home & Kitchen,5,42.18,West,Online
2026-01-27,Shampoo Bar,Beauty,12,15.05,South,Online
2026-01-27,Sports Cap,Apparel,1,26.75,West,Retail
2026-01-27,Laptop Stand,Electronics,6,51.66,North,Wholesale
2026-01-27,Coffee Maker,Home & Kitchen,14,38.34,North,Retail
2026-01-28,Shampoo Bar,Beauty,1,15.25,West,Retail
2026-01-28,Table Lamp,Home & Kitchen,9,32.0,West,Wholesale
2026-01-28,Bluetooth Speaker,Electronics,9,52.07,Central,Online
2026-01-28,Resistance Bands,Sports,3,19.57,East,Retail
2026-01-29,Sunscreen SPF50,Beauty,14,17.26,North,Retail
2026-01-29,Resistance Bands,Sports,4,21.61,West,Wholesale
2026-01-29,Sunscreen SPF50,Beauty,2,12.31,Central,Retail
2026-01-30,Denim Jacket,Apparel,2,25.61,East,Online
2026-01-30,Resistance Bands,Sports,8,19.89,West,Wholesale
2026-01-31,Wool Sweater,Apparel,8,26.21,North,Online
2026-01-31,Denim Jacket,Apparel,6,24.7,North,Online
2026-01-31,Shampoo Bar,Beauty,10,16.63,North,Wholesale
2026-01-31,Lip Balm Set,Beauty,7,11.54,Central,Retail
2026-01-31,Wool Sweater,Apparel,11,25.89,North,Wholesale
2026-01-31,Dumbbell Set,Sports,11,21.82,East,Retail
2026-01-31,Yoga Mat,Sports,10,20.69,South,Online
